PersonnelCode;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
101560;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ACETUDIL;47271,88071;32966,91;69,73894312
101560;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;APIKOBAL PLUS;18888,57487;21862,71;115,7456831
101560;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLEXO GRUP;75749,55067;53561,22;70,70830061
101560;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;TRIBUDAT TABLET;11054,61884;8960,89;81,06014443
101561;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLUREND;37538,35717;34316,32;91,41668038
101561;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ILIADIN;155035,3858;172973,35;111,5702387
101561;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MAGNIS;17271,84507;10810,8;62,59203897
101562;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;BRONCHOREST;14713,69403;26101,04;177,3928419
101562;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;DICLOFLAM;145094,305;159604,16;110,0002926
101562;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;PARAFON/X;113384,2406;96033,14;84,69707917
101564;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLUREND;37921,61566;32186,84;84,87729081
101564;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ILIADIN;266817,8484;278659,82;104,4382232
101564;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MAGNIS;18504,727;27532,05;148,7838756
101565;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLUREND;37198,1424;34055;91,55027054
101565;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ILIADIN;222636,5937;258874,44;116,2766802
101565;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MAGNIS;20921,15549;21648,9;103,4785101
101566;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ACETUDIL;57981,55787;58422,09;100,7597797
101566;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;APIKOBAL PLUS;21410,10129;17934,02;83,76429311
101566;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLEXO GRUP;107010,0785;77154,46;72,10018077
101566;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;TRIBUDAT TABLET;13963,25616;12186,32;87,27419921
101567;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ACETUDIL;67712,43636;71067,95;104,9555352
101567;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;APIKOBAL PLUS;32423,94163;46994,33;144,9371287
101567;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLEXO GRUP;127686,9138;117664,53;92,15081365
101567;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;TRIBUDAT TABLET;15845,42991;15144,39;95,57575963
101568;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;BRONCHOREST;21631,37668;12517,12;57,86557272
101568;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;DICLOFLAM;339230,6612;668037,44;196,9271992
101568;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;PARAFON/X;230597,8695;255452,68;110,7784216
101573;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ACETUDIL;51092,06414;10758,64;21,05736024
101573;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;APIKOBAL PLUS;31495,01211;12625,79;40,08822081
101573;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLEXO GRUP;80751,71864;47188,31;58,43629188
