Çalışan Sicil No;Gösterge Adı;Periyod;Ürün;Planlanan;Gerçekleşen;Sonuç 
100661;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;747670,5238;1376965,71;178,9491722
100522;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;429167,0788;283912,25;64,27980628
100357;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;468226,0595;371946,43;77,18655207
100204;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;487370,6114;585854,04;116,8010964
101666;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;588060,2346;464095,42;76,68356546
100502;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;444429,3544;492757,36;107,7326174
101829;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;489232,6931;424824,05;84,37435222
101796;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;624356,5011;642719,18;100,0242837
100138;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;405171,0912;388206,14;93,09809124
102263;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;336747,9693;265507,67;76,61060886
101279;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;410253,0336;444647,43;105,312716
102392;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;407714,3748;157218,54;37,46834954
100253;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;819657,9863;1608782,1;190,7134746
100675;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;508127,0704;542179,49;103,6782314
100355;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;556157,0555;567469,21;99,1429139
102264;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;434337,1793;340889,99;76,2612764
101841;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;295159,6626;252235,18;83,03582049
100766;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;458632,9145;426744,13;90,41056108
