Çalışan Sicil No;Gösterge Adı ;Periyod;Hedef Ürün;Planlanan;Gerçekleşen;Sonuç 
100387;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;758344,7028;800188,96;125,2767247
100238;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;728173,2072;682805,56;111,3286253
100299;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;767737,7213;968379,56;149,7535848
100796;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;1102154,408;952867,77;102,6442648
100389;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;7048843,886;6949215,48;95,79320723
100377;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;5092857,512;5867715,51;111,9500654
100008;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;5865513,344;6465333,37;107,1030217
100285;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;5854209;4971028,83;82,50777709
100387;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;7078113,957;8543068,94;117,2770919
100238;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;4739009,482;3691807,99;75,69520257
100299;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;2507218,968;1352975,26;52,43417248
100796;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;8448728,879;10655653,53;122,5478073
100389;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;132118,2962;150691,87;73,52557541
100377;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;70066,60206;128386,09;118,1186542
100008;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;116241,9771;216783,07;120,2192317
100285;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;105016,8086;125317,57;76,92450721
100387;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;93789,05213;172938,64;118,8643081
100238;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;94976,00963;142922,22;97,00573455
100299;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;91156,89392;218809,08;154,7345854
100796;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;122579,2069;158343,5;83,27123527
100389;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;6250591,138;6333405,55;105,9216854
100377;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;3952055,4;3722932,07;98,47608265
100008;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;5021653,561;4886750,11;101,7283639
100285;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;5478810,101;5569487,73;106,2668188
100387;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;4861611,094;4833388,89;103,9298262
100238;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;4953741,434;4388110,73;92,60041217
100299;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;2584994,152;1844320,19;74,58395886
100796;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;6293846,547;6550996,36;108,8077636
100654;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;1037555,421;1085845,5;111,8418277
100654;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;2198228,576;1942311,37;102,1870844
100654;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;MODET;3213542,018;3133351,69;91,5014188
